	Filename	author.name	title	Year	supergenre	Genre	Subgenre	author.country	author.viaf	author.bne	author.gender	title.main	title.viaf	title.bne	author.name.full	subtitle	availability	subgenre.cligs	genre.analyzed	genre.analyzed.cert	date.file	digital.source	digital.source.format	genre.subtitle	narrator	protagonist.gender	setting.type	form	publication	digital.source.idno	author.continent	authorText.group	authorText.subgroup	protagonist.name	protagonist.age	protagonist.socLevel	protagonist.profession	representation	setting.continent	setting.country	setting.settlement	setting.territory	text.movement	time.period	time.span	authorText.relation	end	time.year	keywords.cert	author.movement	author.submovement	author.date.birth	author.date.death	litHist.literaryQuality	litHist.brow	litHist.audience	author.litHist.pages	author.nonNovelGenre	litHist.pages	author.year.change	setting.settlement.represented.exist	setting.represented	MdLE	CoNSSA	CoNSSA.canon	HdLE	subgenre.lithist.MdLE	subgenre.lithist.HdLE	subgenre.edit.epublibre	subgenre.edit.amazon	subgenre.edit.wikidata	subgenre.edit.esdbpedia	subgenre.subtitle.bne	subgenre.subtitle.first.edition	subgenre.cluster	am.tokens	am.chars	am.divs	am.verses	am.sps	am.paragraphs	am.pds	am.numerals	am.puncts	am.blocks	am.chapters	am.shortStories	am.parts	am.sections	am.divisions	am.lg.poems	am.lg.stanzas	am.saids	am.narrative.ps	am.punctual.ss	len.abstract	am.fts	len.chapters.mean	len.chapters.std	len.chapters.median	len.chapters.iqr	am.conjunctions	am.determiners	am.nouns	am.verbs	am.adverbs	am.adjectives	am.adpositions	am.punctuations	am.pronouns	am.dates	am.numbers	am.interjections	am.ne.persons	am.ne.organizations	am.ne.locations	am.ne.others	am.ss	len.ss.mean	len.ss.std	len.ss.median	len.ss.iqr	am.ss.active.verbs.mean	am.ss.active.verbs.std	am.ss.active.verbs.median	am.ss.active.verbs.iqr	am.ws	am.ws.num.mean	am.ws.num.std	am.ws.num.median	am.ws.num.iqr	am.wnlex.noun.plants	am.wnlex.verb.communications	am.wnlex.noun.foods	am.wnlex.verb.possessions	am.wnlex.verb.cognitions	am.wnlex.noun.communications	am.wnlex.noun.states	am.wnlex.verb.statives	am.wnlex.noun.cognitions	am.wnlex.noun.times	am.wnlex.verb.bodys	am.wnlex.noun.persons	am.wnlex.adj.alls	am.wnlex.noun.quantitys	am.wnlex.noun.phenomenons	am.wnlex.verb.creations	am.wnlex.adj.perts	am.wnlex.adv.alls	am.wnlex.noun.processs	am.wnlex.noun.artifacts	am.wnlex.verb.perceptions	am.wnlex.noun.feelings	am.wnlex.verb.weathers	am.wnlex.noun.substances	am.wnlex.noun.shapes	am.wnlex.verb.competitions	am.wnlex.verb.motions	am.wnlex.noun.animals	am.wnlex.noun.acts	am.wnlex.noun.bodys	am.wnlex.noun.objects	am.wnlex.noun.motives	am.wnlex.verb.socials	am.wnlex.noun.groups	am.wnlex.verb.consumptions	am.wnlex.noun.possessions	am.wnlex.noun.Topss	am.wnlex.noun.relations	am.wnlex.noun.attributes	am.wnlex.verb.emotions	am.wnlex.noun.locations	am.wnlex.noun.events	am.wnlex.verb.contacts	am.wnlex.xxxs	am.wnlex.verb.changes	decade	autobiografía	aventura	biografía	costumbrista	diálogo	educación	episodio nacional	erótica	espiritual	fantástico	filosófica	greguería	guerra	histórica	humor	memorias	modernista	naturalista	nivola	poética	psicológica	realista	social	ficción-literaria	Brow
ne0007	ne0007	Sawa	MujerMundo	1885	narrative	novela	erotic	Spain	59126336.0	XX1137561	male	La mujer de todo el mundo	NaN	NaN	Alejandro Sawa	NaN	free	naturalist,realist,social,erotic	novela	NaN	2015-10-21	#bvmc	html	NaN	heterodiegetic	female	big-city	prose	book	NaN	Europe	NaN	NaN	condesa de Zarzal	mature	high	lord	realistic	Europe	Spain	Z	Castilla	modernista	contemporary	365	none	negative	1883	high	modernism	1-modernista	1862	1909	NaN	NaN	NaN	8	short-stories	0.5	0.0	True	Madrid	True	True	False	True	novela naturalista	novela naturalista	Drama	Ficción clásica ; Europea, Teatro ; Romántica, Romántica, Literatura y ficción	NaN	NaN	NaN	NaN	NaN	38217	222986	24	22	0	591	336	7	8517	633	17	0	0	6	0	3	0	388	255	1630	1312	6	13321.12	5663.39	13420.0	7613.0	2718	6322	8208	6641	2246	2326	6064	7350	3860	20	159	111	345	144	144	88	1081	212.62	262.11	125.0	204.0	2.87	3.17	2.0	3.0	46025	NaN	NaN	NaN	NaN	64	523	36	237	427	545	323	1740	484	322	262	1089	1624	23	93	326	92	769	15	649	288	232	21	76	36	64	467	111	550	432	169	15	368	265	68	58	129	16	566	254	194	219	294	31157	331	1880	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	low
ne0022	ne0022	Valle	GerifaltesAntano	1909	narrative	novela	historical	Spain	68936773.0	XX1055436	male	Gerifaltes de antaño	178795042	XX1976382	Valle-Inclán, Ramón del	la guerra carlista	free	adventure,realist,social,war-novel,historical	novela	NaN	2014-01-21	#archive	pdf	NaN	heterodiegetic	male	rural	prose	book	NaN	Europe	La guerra carlista	NaN	Manuel Santa Cruz	mature	medium	military personnel	realistic	Europe	Spain	Otaín	Navarra	modernista	contemporary	15	none	positive	NaN	high	modernism	2-modernista	1866	1936	NaN	NaN	NaN	162	theatre	1.2	1920.0	True	Otaín	True	True	False	True	NaN	NaN	Aventuras	 Cristiana, Religión; Sociedad y cultura, Historia, Ficción contemporánea ; Ficción clásica, Ficción contemporánea	NaN	NaN	NaN	NaN	bucólica	24655	142358	34	0	0	1086	617	1	5593	1119	33	0	0	0	0	0	0	617	469	2209	653	0	4481.55	1187.55	4642.0	1428.0	1462	4411	5794	4704	1007	1366	3564	5294	2220	5	127	27	565	125	231	39	1427	102.29	58.82	92.0	72.0	1.94	1.31	2.0	1.0	29981	NaN	NaN	NaN	NaN	18	459	92	121	253	295	110	965	187	141	279	1021	987	18	44	194	24	410	23	584	243	91	30	61	18	55	560	114	346	397	149	5	230	199	61	16	55	2	206	93	175	80	311	20002	257	1900	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	low
ne0026	ne0026	Zamacois	Incesto	1900	narrative	novela	erotic	Spain	51728159.0	XX1137688	male	Incesto	NaN	XX2930015	Eduardo Zamacois	Novela original	free	realist,sentimental,social,erotic	novela	NaN	2015-10-23	#gutenberg	html	novela	heterodiegetic	female	big-city	prose	book	48654	Europe	NaN	NaN	Mercedes Gómez-Urquijo	young	medium	unknown	realistic	Europe	Spain	Madrid	Castilla	modernista	contemporary	365	low	partial negative	NaN	low	modernism	3-modernista	1873	1971	NaN	NaN	NaN	3	theatre	0.2	0.0	True	Madrid	True	True	False	False	novela erótica	NaN	NaN	Ficción clásica, Ficción clásica	NaN	NaN	novela	novela	NaN	38071	236966	6	16	0	1209	700	1	10227	1230	5	0	0	0	0	7	0	888	509	2080	3	0	48640.6	26570.98	45024.0	31800.0	2457	5884	8408	7302	2235	2876	5339	8369	3533	22	133	89	780	280	154	46	827	296.18	271.82	222.0	269.5	4.75	4.56	4.0	4.0	46647	NaN	NaN	NaN	NaN	21	778	123	257	516	560	316	1331	517	336	310	1108	1936	26	80	247	67	918	12	816	369	229	32	56	25	60	717	62	451	436	82	20	439	161	61	34	98	10	490	341	150	161	347	31126	415	1900	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	low
ne0039	ne0039	Zamacois	Vagon	1921	narrative	novela	adventure	Spain	51728159.0	XX1137688	male	Memorias de un vagón de ferrocarril	NaN	NaN	Eduardo Zamacois	NaN	free	realist,sentimental,social,adventure	novela	NaN	2015-10-23	#epublibre	epub	memoria	homodiegetic	other	mixed	prose	book	1535	Europe	NaN	NaN	El Cabal	mature	medium	public servant	non-realistic	Europe	Spain	mixed	mixed	vanguardista	contemporary	3650	none	positive	NaN	medium	modernism	3-modernista	1873	1971	NaN	NaN	NaN	3	theatre	0.2	0.0	True	Spain	True	True	False	True	NaN	NaN	Otros	NaN	NaN	NaN	memoria	memoria	NaN	89124	533192	29	0	0	2060	893	1	20384	2088	28	0	0	0	0	0	0	1104	1167	4740	1532	0	19257.75	6742.83	17689.0	8665.5	6170	14548	19229	16848	4972	5581	12276	20222	9070	46	534	93	1119	445	803	159	3614	153.14	122.17	124.0	138.0	2.89	2.41	2.0	3.0	109589	NaN	NaN	NaN	NaN	106	1547	106	604	1025	1133	624	3659	990	766	717	1947	3597	129	235	516	211	1826	79	2004	775	497	109	226	77	130	1780	140	1103	955	334	34	882	580	194	82	288	30	1100	567	511	536	884	74802	1150	1920	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	low
ne0058	ne0058	Burgos	UltimoContrabandista	1918	narrative	novela	social	Spain	95256735.0	XX1010849	female	El último contrabandista	NaN	XX2927529	Carmen de Burgos	Novela	free	adventure,realist,social	novela	NaN	2018-01-10	#abbyy	html	novela	heterodiegetic	male	small-city	prose	book	NaN	Europe	NaN	NaN	Antonio Olivares	adult	medium	business owner	realistic	Europe	Spain	Almería	Andalucía	NaN	contemporary	365	none	negative	19??	low	avantgarde	3-modernista	1878	1932	NaN	NaN	NaN	2	essay	0.5	0.0	True	Almería	True	True	False	False	NaN	NaN	NaN	NaN	NaN	NaN	novela	novela	NaN	53961	308668	23	0	0	1762	803	7	9333	1785	20	0	0	0	0	0	0	880	959	3260	162	0	15867.35	5543.25	15719.0	5819.25	3468	9231	11845	10492	2496	2640	8063	8715	5683	19	242	49	707	161	278	50	2296	137.24	110.65	111.0	119.0	2.32	2.2	2.0	2.0	62943	NaN	NaN	NaN	NaN	128	739	194	386	554	473	308	2652	449	411	499	1368	2015	43	129	468	32	872	48	1094	489	257	81	188	43	126	1021	199	754	499	488	18	682	434	142	84	142	7	552	292	370	267	559	41823	564	1910	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	low
ne0090	ne0090	Jarnes	VivianaMerlin	1929	narrative	novela	philosophical	Spain	17339452.0	XX1126572	male	Viviana y Merlín	NaN	bimo0001041989	Benjamín Jarnés	Leyenda	restricted	fantastic,sentimental,philosophical	novela	NaN	2018-01-30	#abbyy	html	Leyenda	homodiegetic	male	rural	prose	book	NaN	Europe	NaN	NaN	Merlín	adult	medium	wizard	non-realistic	Europe	France	Tintagil	?	NaN	middle_ages	365	none	positive	14??	low	avantgarde	vanguardista	1888	1949	NaN	NaN	NaN	16	essay	0.2	0.0	False	France	True	True	False	True	género intermedio	NaN	NaN	Ficción clásica;	NaN	NaN	leyenda	leyenda	bucólica	59186	355902	21	17	0	1083	457	323	12185	1121	14	0	0	0	0	2	0	493	626	3231	708	0	13693.79	3504.63	14509.0	2874.25	1596	5617	7968	5791	1526	2224	4762	6661	2577	10	105	28	630	259	349	56	2003	96.17	71.74	79.0	79.5	1.65	1.3	1.0	1.0	38865	NaN	NaN	NaN	NaN	130	358	112	176	403	446	217	1105	379	258	227	1290	1452	26	99	288	62	631	17	651	246	144	64	117	44	67	572	134	333	460	276	8	379	136	60	22	30	7	338	248	148	123	332	25814	435	1920	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	low
ne0095	ne0095	Maeztu	GuerraTransvaal	1901	narrative	novela	historical	Spain	34495436.0	XX1003714	male	La guerra del Transvaal y los misterios de la Banca de Londres	NaN	XX2804205	Ramiro de Maeztu	NaN	free	adventure,philosophical,sentimental,historical	novela	NaN	2018-01-16	#abbyy	html	NaN	heterodiegetic	male	big-city	prose	book	NaN	Europe	NaN	NaN	Alejandro Liebeck	adult	medium	military personnel	realistic	Africa	South Africa	Johannesburgo	Johannesburgo	NaN	contemporary	1825	low	neutral	1895	medium	modernism	3-modernista	1874	1936	NaN	NaN	NaN	21	essay	0.5	0.0	True	Johannesburgo	True	True	False	True	NaN	NaN	NaN	 Literatura y ficción, Literatura y ficción	NaN	NaN	NaN	NaN	NaN	185653	1106083	85	3	0	9600	4026	263	40254	9717	50	0	7	16	3	3	0	4301	5574	13064	971	16	22788.08	5809.89	23355.0	7462.0	12565	28239	40338	33148	9282	8351	26930	35815	17629	107	1359	335	5350	1184	1745	414	7329	149.29	150.96	107.0	122.0	2.34	2.52	2.0	2.0	214098	NaN	NaN	NaN	NaN	110	3540	156	1721	2377	2954	1097	8340	1786	1055	1068	5681	5878	262	338	1449	541	2914	74	3847	1157	664	88	401	94	361	2670	311	2709	1434	672	65	2366	1526	429	379	510	52	1645	603	1338	810	1305	145622	1697	1900	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	low
ne0112	ne0112	Baroja	Aprendiz	1912	narrative	novela	adventure	Spain	36912891.0	XX842743	male	El aprendiz de conspirador	NaN	bimo0000574174	Pío Baroja	NaN	restricted	bildungsroman,historical,memoir,realist,social,adventure	novela	NaN	2016-03-16	#epublibre	epub	memorias	homodiegetic	male	mixed	prose	book	1770	Europe	Memorias de un hombre de acción	NaN	Pedro (de ) Leguía (Pello)	child	medium	?	realistic	Europe	Spain	mixed	mixed	modernista	contemporary	3650	medium	neutral	1812	low	modernism	3-modernista	1872	1956	NaN	NaN	NaN	117	essay	0.5	1912.0	True	Spain	True	True	False	True	memorias	NaN	Aventuras, Histórico	Ficción contemporánea; Literatura y ficción, Literatura y ficción	NaN	NaN	memorias	NaN	NaN	50086	292314	135	58	0	2091	1068	38	10420	2292	34	0	7	89	0	11	0	1169	1023	3288	4169	0	8754.5	3691.27	7843.5	4061.75	2539	6112	8964	6927	1798	1893	5829	8060	3432	38	261	95	1170	249	630	88	1687	135.03	103.27	113.0	109.0	2.57	2.15	2.0	2.0	45948	NaN	NaN	NaN	NaN	26	880	95	203	482	386	163	1797	292	323	325	1146	1360	40	59	279	89	610	18	1111	290	120	29	69	22	97	754	111	432	217	140	10	374	432	98	44	89	20	270	101	255	148	286	31510	346	1910	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	1	low
ne0113	ne0113	Carrere	Jorobados	1920	narrative	novela	adventure	Spain	69147939.0	XX1156113	male	La torre de los siete jorobados	NaN	bimo0000729771	Emilio Carrère	NaN	restricted	fantastic,crime-fiction,adventure	novela	NaN	2016-04-19	#epublibre	epub	NaN	heterodiegetic	male	big-city	prose	book	2190	Europe	NaN	NaN	Basilio Beltrán	adult	medium	detective	non-realistic	Europe	Spain	Madrid	Castilla	NaN	contemporary	7	none	positive	?	low	modernism	4-modernista	1872	1947	NaN	NaN	NaN	4	poetry	0.2	0.0	True	Madrid	True	True	False	False	novela policíaca	NaN	Fantástico, Humor, Intriga	Humor, Terror, Ciencia ficción	NaN	NaN	NaN	NaN	NaN	50689	301895	42	16	0	1689	782	12	9600	1738	29	0	3	9	0	4	0	959	907	3705	5331	9	10851.28	3900.91	9863.0	7052.0	2641	9000	11353	9905	2454	3174	7247	9582	4687	32	339	81	846	115	181	60	2859	107.72	79.96	87.0	85.0	1.96	1.56	2.0	2.0	60495	NaN	NaN	NaN	NaN	33	822	75	519	755	624	362	2516	613	331	352	1337	2190	64	124	357	89	953	44	1587	661	225	71	157	67	131	819	123	640	539	204	11	635	246	106	81	127	11	543	189	241	303	497	39582	539	1920	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	low
ne0118	ne0118	Baroja	Caudillos	1918	narrative	novela	adventure	Spain	36912891.0	XX842743	male	Los caudillos de 1830	NaN	XX2298638	Pío Baroja	NaN	restricted	historical,memoir,realist,social,adventure	novela	NaN	2016-03-16	#epublibre	epub	memorias	homodiegetic	male	rural	prose	book	1795	Europe	Memorias de un hombre de acción	NaN	Eugenio de Aviraneta	adult	medium	mixed	realistic	Europe	Spain	Vera de Bidasoa	Navarra	modernista	contemporary	365	low	neutral	1830	low	modernism	3-modernista	1872	1956	NaN	NaN	NaN	117	essay	0.2	1912.0	True	Vera de Bidasoa	True	True	False	True	memorias	memoria-histórico	Aventuras, Histórico	Ficción contemporánea	NaN	NaN	memorias	NaN	NaN	39416	227883	59	24	0	1592	713	65	7185	1677	42	0	5	11	0	4	0	831	879	2771	1851	0	5670.29	3273.79	5534.5	3908.5	2434	5612	8951	7184	1661	1739	5743	6824	3578	32	243	53	1502	333	868	66	1896	116.58	89.46	97.0	91.25	2.12	1.93	2.0	2.0	44054	NaN	NaN	NaN	NaN	40	896	105	209	512	435	162	2026	304	339	296	1131	1296	66	62	338	83	541	33	759	173	138	24	63	16	79	751	77	468	177	181	9	394	395	110	38	72	14	288	118	240	142	279	29794	381	1910	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	1	low
ne0160	ne0160	Trigo	Frio	1906	narrative	novela	erotic	Spain	79060694.0	XX1051062	male	Del frío al fuego	NaN	NaN	Felipe Trigo	Ellas a bordo	free	adventure,sentimental,erotic	novela	NaN	2015-08-19	#bvmc	html	NaN	autodiegetic	male	boat	prose	book	NaN	Europe	NaN	NaN	Andrés Serván	adult	medium	military personnel	realistic	mixed	mixed	mixed	mixed	modernista	contemporary	90	none	partial positive	NaN	high	modernism	2-modernista	1864	1916	NaN	NaN	NaN	13	short-stories	0.2	0.0	True	mixed	True	True	False	False	novela erótica	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	71418	415110	36	33	0	1921	693	37	22015	1984	26	0	0	7	0	10	0	801	1228	5018	1567	7	16380.38	5424.21	15398.0	6315.25	4346	11373	16120	12625	4300	4600	11158	17125	7214	23	367	378	1011	202	456	80	3041	141.42	154.18	90.0	138.0	2.17	2.39	1.0	2.0	89629	NaN	NaN	NaN	NaN	78	996	173	377	848	862	371	3065	638	401	453	1940	3247	72	198	438	194	1292	68	2016	778	429	103	272	97	100	1251	188	881	714	472	27	658	422	120	62	167	21	861	368	398	305	619	61972	616	1900	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	low
ne0166	ne0166	BlascoIbanez	Reina	1923	narrative	novela	adventure	Spain	73848096.0	XX1028057	male	La reina Calafia	307968037	XX2314759	Vicente Blasco Ibáñez	NaN	free	historical,moralist,symbolic,adventure	novela	NaN	2015-08-13	#epublibre	epub	NaN	heterodiegetic	female	big-city	prose	book	20996	Europe	novelas de aventuras e históricas	NaN	Concha Ceballos	adult	high	business owner	realistic	Europe	Spain	Madrid	Castilla	modernista	contemporary	90	none	partial negative	NaN	low	modernism	2-modernista	1867	1928	NaN	low	NaN	23	short-stories	0.5	1909.0	True	Madrid	True	True	False	False	novelas de aventuras	NaN	Romántico	NaN	NaN	NaN	NaN	NaN	NaN	68878	411699	13	0	0	1258	310	16	9760	1268	10	0	0	2	0	0	0	402	948	3162	917	2	41811.9	9625.4	41263.0	16238.25	3935	12295	16231	11962	3015	4726	11321	9712	5448	18	284	29	1086	271	842	106	2785	150.78	97.07	131.0	110.0	2.01	1.43	2.0	2.0	78976	NaN	NaN	NaN	NaN	56	923	89	521	946	1029	573	2952	808	685	463	2131	3281	60	134	704	255	1077	23	1420	513	421	25	180	42	109	1097	139	988	462	462	14	774	593	108	99	217	46	961	374	661	435	435	51034	655	1920	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	low
ne0169	ne0169	Serna	Viuda	1917	narrative	novela	erotic	Spain	68929740.0	XX927011	male	La viuda blanca y negra	309346965	XX1998482	Ramón Gómez de la Serna	Novela	restricted	comedy,sentimental,erotic	novela	NaN	2015-11-16	#archive	pdf	novela	heterodiegetic	female	big-city	prose	book	NaN	Europe	primeros relatos	NaN	Rodrigo	adult	medium	?	realistic	Europe	Spain	Madrid	Castilla	modernista	contemporary	90	none	negative	NaN	low	avantgarde	4-modernista	1888	1963	NaN	NaN	NaN	38	essay	0.2	1920.0	True	Madrid	True	True	False	True	NaN	novela erótica	Drama, Humor, Otros	NaN	NaN	NaN	novela	novela	NaN	57286	320336	35	0	0	1678	508	24	9511	1712	34	0	0	0	0	0	0	580	1170	2682	3	0	9529.68	3844.84	9116.5	4850.0	4159	9560	11538	11384	2891	2940	8691	8388	6479	48	135	38	356	85	182	28	1734	189.62	180.76	146.0	133.75	3.44	3.59	3.0	3.0	66251	NaN	NaN	NaN	NaN	64	752	104	385	623	537	391	2903	477	609	440	1091	2098	39	125	390	45	940	19	1887	732	292	61	142	40	85	893	99	700	482	127	9	622	279	145	42	86	23	679	338	228	272	581	44777	597	1910	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	low
